9.999999999999999547e-07 1.000000000000000048e-04 1.571000000000000000e+07 1.000000000000000048e-04 2.477000000000000000e+16
1.000000000009999931e+05 4.958880303045391155e+20 1.570999378038137406e+07 2.449122973355996160e+18 2.476997549898690000e+16
2.000000000010000076e+05 3.967101708556857508e+21 1.570997878075143136e+07 1.959289269843047219e+19 2.476991641083899600e+16
3.000000000010000076e+05 1.338894981769870705e+22 1.570995389543758146e+07 6.612534965696625050e+19 2.476981838013216000e+16
4.000000000010000076e+05 3.173670726342269941e+22 1.570991907649295405e+07 1.567393165333468611e+20 2.476968121826722000e+16
5.000000000010000076e+05 6.198559817522088195e+22 1.570987431568601727e+07 3.061257908355769303e+20 2.476950489320770000e+16
6.000000000010000076e+05 1.071107789830156882e+23 1.570981961075283773e+07 5.289733367505948508e+20 2.476928939653674000e+16
7.000000000010000076e+05 1.700873214933489659e+23 1.570975496092353016e+07 8.399674771331839427e+20 2.476903472583442800e+16
8.000000000010000076e+05 2.538901959660008081e+23 1.570968036593052186e+07 1.253790085697146192e+21 2.476874088077103600e+16
9.000000000010000076e+05 3.614942541912493984e+23 1.570959582571459934e+07 1.785118779453647880e+21 2.476840786194903200e+16
1.000000000001000008e+06 4.958742125679050175e+23 1.570950134031940997e+07 2.448626311438820966e+21 2.476803567048748400e+16
1.100000000001000008e+06 6.600046351822356899e+23 1.570939690984804742e+07 3.258979963772110111e+21 2.476762430785102800e+16
1.200000000001000008e+06 8.568599168879000352e+23 1.570928253444322385e+07 4.230840941086714102e+21 2.476717377577175200e+16
1.300000000001000008e+06 1.089414266386998555e+24 1.570915821427745745e+07 5.378863764373339374e+21 2.476668407621052800e+16
1.400000000001000008e+06 1.360641689312355831e+24 1.570902394954788312e+07 6.717695665278462984e+21 2.476615521133656000e+16
1.500000000001000008e+06 1.673515971311148122e+24 1.570887974047335237e+07 8.261975980898230731e+21 2.476558718351592800e+16
1.600000000001000008e+06 2.031010661129983061e+24 1.570872558729273267e+07 1.002633554910903691e+22 2.476497999530492000e+16
1.700000000001000008e+06 2.436099053701549567e+24 1.570856149026389420e+07 1.202539610447585005e+22 2.476433364944595200e+16
1.800000000001000008e+06 2.891754173232947357e+24 1.570838744966304675e+07 1.427376967477918224e+22 2.476364814886502000e+16
1.900000000001000008e+06 3.400948756295804237e+24 1.570820346578433178e+07 1.678605797820163791e+22 2.476292349667000400e+16
2.000000000001000008e+06 3.966655234918299021e+24 1.570800953893953189e+07 1.957685182121480972e+22 2.476215969614957200e+16
2.100000000000999775e+06 4.591845719679201733e+24 1.570780566945790313e+07 2.266073049720731101e+22 2.476135675077241200e+16
2.200000000000999775e+06 5.279491982804034460e+24 1.570759185768601671e+07 2.605226118589462033e+22 2.476051466418668000e+16
2.300000000000999775e+06 6.032565441263475244e+24 1.570736810398769006e+07 2.976599835355124649e+22 2.475963344021962000e+16
2.400000000000999775e+06 6.854037139874113472e+24 1.570713440874389745e+07 3.381648315410583598e+22 2.475871308287727600e+16
2.500000000000999775e+06 7.746877734401661987e+24 1.570689077235273644e+07 3.821824283113948814e+22 2.475775359634426000e+16
2.600000000000999775e+06 8.714057474666749397e+24 1.570663719522938877e+07 4.298579012082773000e+22 2.475675498498359200e+16
2.700000000000999775e+06 9.758546187653390304e+24 1.570637367780608870e+07 4.813362265586627353e+22 2.475571725333656400e+16
2.800000000000999775e+06 1.088331326062026766e+25 1.570610022053209879e+07 5.367622237042074085e+22 2.475464040612260400e+16
2.900000000000999775e+06 1.209132762421489595e+25 1.570581682387369685e+07 5.962805490614027892e+22 2.475352444823921200e+16
