32011.2733943 4397.8014928
65412.832965 4569.88275852
311197.669242 4866.62472022
479705.802728 5332.92743333
488800.830481 6697.21084424
349147.407983 10241.3985201
309405.05905 14426.0271096
517594.365951 20314.2373178
567347.060573 29087.9457939
449349.942345 41378.1970432
450165.732678 44140.1141486
478672.982535 42547.783264
532975.043048 39999.1988762
604282.444511 35960.0844764
616636.837372 35172.3530664
694383.598747 29330.797548
792159.907648 20194.2617533
832017.553234 20214.8572337
929247.202145 13930.9838342
939289.439196 7526.23271769
932479.831131 5882.33167353
923370.549491 5269.71076018
913363.364148 4900.50004111
902803.897884 4634.44314869
891865.138461 4431.91193968
883714.042101 4272.98784927
877869.282784 4141.82518143
872547.997526 4030.316189
868451.539736 3933.61420412
867477.454784 3848.17066562
874235.902119 3771.00445604
892594.168126 3701.93466275
915677.060372 3647.62810838
932774.396642 3603.92785046
950566.41444 3566.50552483
947084.141822 3560.00935191
912580.128852 3552.09469802
907596.883352 3548.50906759
896644.497447 3531.47348058
862525.368447 3516.34470057
816822.406117 3498.84963239
766836.363846 3482.95591391
717317.801321 3472.89642354
715409.829794 3451.50906343
730028.450325 3432.95662036
765736.682179 3405.13382695
836152.593801 3364.34735253
861982.033563 3312.74413099
849205.24147 3300.99736683
881496.169359 3313.59703813
874739.266312 3347.16557639
395295.555347 2749.82159499
14929102.5623 1681.53023662
