                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    3000                                     1263                  1.0000000000000000E+002                  4.0000000000000001E-002                  2.0779227429436224E+006                  2.8643358130436264E-001                  4.4772017266908251E+003                  2.1611672212949484E+006                  2.4467505648511005E+003                 -7.7967635944747258E+000                  1.9131103999312743E-001                  7.3501125098181807E-008                  7.6964864001289024E-001                  4.7445369035505183E-004                  2.3361585329070324E-002                  2.6812045100399820E-003                  0.0000000000000000E+000                  9.9635670922232109E+001                 -1.0614633859802896E-005                  2.8438210232044568E+001                  4.8417609628153310E-004                  6.7286864640518360E+001                  1.3329515715288903E-001                  1.9876711854921110E+000                  5.4207661047654998E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9549319842925371E+001                  2.4368188326460167E+003                  9.9540181873104629E+001                  2.4355896371390195E+003                  1.2139776538547234E+008                  4.4068794338958888E+001                  4.6102712432650849E+005                  2.0283225410295352E+006                  2.0283225410295355E+006                  5.9716027344235409E-023                  1.3591314805067371E+005                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40 
                                    mass                                   radius                               luminosity                                 pressure                                   logRho                                     logT                                   energy                                  entropy                                       cp                                   gamma1                                    grada                                       mu                                   free_e                                     pgas                                     prad                                    gradr                                    gradT                                 conv_vel                                  opacity                                  eps_nuc                                       pp                                      cno                                 tri_alfa                        eps_nuc_neu_total                              non_nuc_neu                                 eps_grav                                        x                                        y                                      c12                                      n14                                      o16                                      o18                                     ne22                                      eta                                log_omega                                    v_rot                                    j_rot                           dynamo_log_B_r                         dynamo_log_B_phi                               log_D_conv 
                 9.9635670922232109E+001                  2.4467505648511005E+003                  2.1611672212949484E+006                  1.1938413728051236E+002                 -9.3537892891922958E+000                  3.6510066731242272E+000                  1.7828872526687764E+012                  2.1683307260526288E+001                  1.6088855677522159E+008                  1.6449684194853209E+000                  3.8714553372114408E-001                  1.3907724089785518E+000                  9.5188700361672706E-005                  1.1837078972999502E+002                  1.0133475505173375E+000                  1.2553273680058785E-001                  1.2553273680058785E-001                  0.0000000000000000E+000                  2.5581967945494605E-003                  3.1950517654225919E-037                  3.1950517654225919E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0303434891359420E-038                  0.0000000000000000E+000                  6.2339094907616621E-001                  6.3999999959582277E-001                  3.2000000317055266E-001                  6.8006696834248580E-003                  2.0084075118106046E-003                  1.8671363537804866E-002                  4.2130303430343221E-005                  1.2378550960380402E-002                 -2.0004757537699895E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 9.9635670922182285E+001                  2.4467505648422866E+003                  2.1611672212949484E+006                  1.1938413728161397E+002                 -9.3537892673699261E+000                  3.6510066732422577E+000                  1.7828872526687764E+012                  2.1683307260526288E+001                  1.6088855677522159E+008                  1.6449684194853209E+000                  3.8714553372114408E-001                  1.3907724089785518E+000                  9.5188700361672706E-005                  1.1837078972999502E+002                  1.0133475516189496E+000                  1.2553273676817939E-001                  1.2553273676817939E-001                  0.0000000000000000E+000                  2.5581967945494605E-003                  3.1950519259720725E-037                  3.1950519259720725E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0303437921571716E-038                  0.0000000000000000E+000                  6.2359047678646240E-001                  6.3999999959582277E-001                  3.2000000317055266E-001                  6.8006696834248571E-003                  2.0084075118106046E-003                  1.8671363537804866E-002                  4.2130303430343221E-005                  1.2378550960380402E-002                 -2.0004757537699895E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 9.9635670922024516E+001                  2.4467505648143488E+003                  2.1611672212949484E+006                  1.1938413728500157E+002                 -9.3537888921578656E+000                  3.6510066736052176E+000                  1.7828872526687764E+012                  2.1683307260526288E+001                  1.6088855677522159E+008                  1.6449684194853209E+000                  3.8714553372114408E-001                  1.3907724089785518E+000                  9.5188700361672706E-005                  1.1837078972999502E+002                  1.0133475550065532E+000                  1.2553273656270333E-001                  1.2553273656270333E-001                  0.0000000000000000E+000                  2.5581967945494605E-003                  3.1950546864479516E-037                  3.1950546864479516E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0303490022817528E-038                  0.0000000000000000E+000                  6.2420436917354327E-001                  6.3999999959582277E-001                  3.2000000317055266E-001                  6.8006696834248580E-003                  2.0084075118106046E-003                  1.8671363537804866E-002                  4.2130303430343221E-005                  1.2378550960380404E-002                 -2.0004757537699895E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 9.9635670921543920E+001                  2.4467505647292132E+003                  2.1611672212949484E+006                  1.1938465206255674E+002                 -9.3537881751881251E+000                  3.6510066747733365E+000                  1.7828907892835059E+012                  2.1683307260512038E+001                  1.6088850877522272E+008                  1.6449685243894359E+000                  3.8714559570997542E-001                  1.3907724089785540E+000                  9.5188438918527850E-005                  1.1837130449664781E+002                  1.0133475659089315E+000                  1.2553286255616014E-001                  1.2553286255616014E-001                  0.0000000000000000E+000                  2.5581967945494605E-003                  3.1950599612788518E-037                  3.1950599612788522E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0303589580021962E-038                  0.0000000000000000E+000                  6.2618503312174911E-001                  6.3999999959582277E-001                  3.2000000317055266E-001                  6.8006696834248571E-003                  2.0084075118106046E-003                  1.8671363537804866E-002                  4.2130303430343221E-005                  1.2378550960380402E-002                 -2.0004757537699831E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 9.9635670919970039E+001                  2.4467505644504413E+003                  2.1611672212949474E+006                  1.1938465209706180E+002                 -9.3537881393978406E+000                  3.6510066784703303E+000                  1.7828907892835059E+012                  2.1683307260512038E+001                  1.6088850877522272E+008                  1.6449685243894359E+000                  3.8714559570997542E-001                  1.3907724089785540E+000                  9.5188438918527850E-005                  1.1837130449664781E+002                  1.0133476004139965E+000                  1.2553327516554766E-001                  1.2553327516554766E-001                  0.0000000000000000E+000                  2.5581967945494605E-003                  3.1950602245924191E-037                  3.1950602245924195E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0303594549804524E-038                  0.0000000000000000E+000                  6.3243572217129884E-001                  6.3999999959582277E-001                  3.2000000317055266E-001                  6.8006696834248571E-003                  2.0084075118106046E-003                  1.8671363537804866E-002                  4.2130303430343221E-005                  1.2378550960380402E-002                 -2.0004757537699831E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 9.9635670915041658E+001                  2.4467505635774955E+003                  2.1611672212949460E+006                  1.1938465219430211E+002                 -9.3537880481237856E+000                  3.6510066888889972E+000                  1.7828907892835059E+012                  2.1683307260512038E+001                  1.6088850877522272E+008                  1.6449685243894359E+000                  3.8714559570997542E-001                  1.3907724089785540E+000                  9.5188438918527850E-005                  1.1837130449664781E+002                  1.0133476976542941E+000                  1.2553326874709581E-001                  1.2553326874709581E-001                  0.0000000000000000E+000                  2.5581967945494605E-003                  3.1950608961070773E-037                  3.1950608961070773E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0303607223978042E-038                  0.0000000000000000E+000                  6.2204287592176311E-001                  6.3999999959582277E-001                  3.2000000317055266E-001                  6.8006696834248571E-003                  2.0084075118106046E-003                  1.8671363537804866E-002                  4.2130303430343221E-005                  1.2378550960380401E-002                 -2.0004757537699831E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 9.9635670901645739E+001                  2.4467505612046925E+003                  2.1611672212949414E+006                  1.1938521010567038E+002                 -9.3537878174874241E+000                  3.6510067151343093E+000                  1.7828905172359055E+012                  2.1683307260525364E+001                  1.6088846013522154E+008                  1.6449686483671246E+000                  3.8714562432020938E-001                  1.3907724232836627E+000                  9.5188260992270490E-005                  1.1837186216306128E+002                  1.0133479426090986E+000                  1.2553342147396984E-001                  1.2553342147396984E-001                  0.0000000000000000E+000                  2.5581967945494605E-003                  3.1950625929283304E-037                  3.1950625929283304E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0303639249797171E-038                  0.0000000000000000E+000                  6.5183144654676695E-001                  6.3999999959582266E-001                  3.2000000317055266E-001                  6.8006696834248571E-003                  2.0084075118106046E-003                  1.8671363537804866E-002                  4.2130303430343221E-005                  1.2378550960380402E-002                 -2.0004757537699831E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 9.9635670868881590E+001                  2.4467505554012496E+003                  2.1611672212949307E+006                  1.1938521045340507E+002                 -9.3537878106853274E+000                  3.6510067523918051E+000                  1.7828905172359119E+012                  2.1683307260525364E+001                  1.6088846013522160E+008                  1.6449686483671249E+000                  3.8714562432020938E-001                  1.3907724232836627E+000                  9.5188260992271005E-005                  1.1837186216306128E+002                  1.0133482903437800E+000                  1.2553379501794404E-001                  1.2553379501794404E-001                  0.0000000000000000E+000                  2.5581967945494605E-003                  3.1950626429722351E-037                  3.1950626429722351E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0303640194326275E-038                  0.0000000000000000E+000                  5.5028421293626217E-001                  6.3999999959582277E-001                  3.2000000317055266E-001                  6.8006696834248571E-003                  2.0084075118106046E-003                  1.8671363537804866E-002                  4.2130303430343221E-005                  1.2378550960380402E-002                 -2.0004757537699831E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 9.9635670836117413E+001                  2.4467505495978057E+003                  2.1611672212949214E+006                  1.1938521096141825E+002                 -9.3537865076410114E+000                  3.6510068068220725E+000                  1.7828905172359055E+012                  2.1683307260525364E+001                  1.6088846013522154E+008                  1.6449686483671246E+000                  3.8714562432020938E-001                  1.3907724232836627E+000                  9.5188260992270490E-005                  1.1837186216306128E+002                  1.0133487983569782E+000                  1.2553391745171280E-001                  1.2553391745171280E-001                  0.0000000000000000E+000                  2.5582066253437606E-003                  3.1950722296532151E-037                  3.1950722296532146E-037                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0303821133426715E-038                  0.0000000000000000E+000                  7.7267587968362494E-001                  6.3999999959582266E-001                  3.2000000317055266E-001                  6.8006696834248571E-003                  2.0084075118106046E-003                  1.8671363537804866E-002                  4.2130303430343214E-005                  1.2378550960380402E-002                 -2.0004757537699831E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
